NAME,Revenue_2015 ,Revenue_2016,Revenue_2017,Revenue_2018,Revenue_2019,Employees_2017,Employees_2018,Employees_2019,Employees_2020,Revenue_2020(To predict)
ZHSB,"68,630,948","76,838,501","86,175,728","90,372,802","101,643,249",401,411,451,459,
JAFQ,"107,621,704","82,160,713","93,800,846",,,,73,73,76,
SUDG,"172,795,850","101,945,592","93,351,900",,,142,134,98,,
LAQN,"59,798,555","74,832,984","93,836,072","97,771,064",,1046,1177,1158,,
VALC,"44,048,995","61,906,806","78,700,837","91,802,405","98,767,179",107,131,143,,
ONVC,"46,528,965","74,446,374","94,784,705","89,670,911","98,324,916",,80,99,106,
RIUY,,"69,834,721","80,689,322","95,105,645",,,60,67,67,
XSWN,"73,225,271","71,908,599","76,940,059","88,969,591","94,182,653",275,274,260,,
EBQV,"57,865,522","76,459,850","81,235,196","87,667,119","93,595,883",,187,214,212,
HCDP,"57,466,093","34,089,297","39,755,327","33,644,000","91,287,000",,185,257,286,
JMPG,"31,488,910","30,035,047","35,719,707","35,270,047","91,153,915",83,87,139,136,
RAKT,"64,871,570","71,537,131","80,801,620","89,450,496","93,681,487",79,81,95,100,
YEHS,"61,602,734","67,269,891","69,849,922","79,931,998","89,253,383",,207,235,264,
XCIH,"66,251,131","66,639,564","75,544,919","80,277,501","87,786,937",,,,27,
SDGB,"13,333,910","24,951,119","36,627,791","52,505,311","87,739,449",,247,271,266,
GKMD,"25,032,991","39,847,894","59,386,873","85,652,374","87,606,893",100,95,106,115,
BDXM,"53,069,000","55,778,756","64,149,070","69,511,519","84,239,743",,205,233,241,
FDRT,"51,507,604","61,777,766","78,581,323",,,734,934,1118,,
YHYX,"58,628,546","66,551,510","74,622,836","79,342,235","82,571,090",,470,528,559,
FYMR,"88,264,448","76,197,649","71,073,298","71,935,420","81,954,390",46,60,63,69,
SHVM,,"57,481,030","69,784,586","80,228,377",,,115,122,130,
VLCH,"74,306,018","73,336,155","76,652,755","83,480,036","83,325,051",,48,58,60,
PEQR,"79,396,304","60,611,884","61,766,830","67,660,756","81,178,144",186,210,241,272,
NGWX,"88,435,987","77,636,815","87,965,503","94,328,833","80,319,951",127,126,131,129,
HIQR,"16,626,826","30,228,921","52,495,405","73,238,997","81,951,533",,,133,136,
PCRY,"61,118,572","73,410,483","73,693,884","75,667,563","79,089,943",,44,42,44,
DJAJ,"55,935,000","60,035,000","65,623,000","68,897,924","78,541,000",,33,38,37,
KQJK,"93,853,455","91,784,914","89,114,265","88,316,432","78,158,309",204,198,188,179,
BSTB,"67,296,294","69,265,806","72,444,672",,,373,389,389,,
VNNN,"67,296,294","69,265,806","72,444,672",,,373,378,381,368,
FODJ,"61,126,992","74,069,323","69,791,587","75,666,469",,,33,35,32,
KNBY,"77,160,606","71,689,762","81,999,013","80,783,478","71,151,696",,30,33,31,
FWCG,"42,601,340","57,257,953","75,095,236","73,151,718","70,473,205",150,151,179,202,
VYII,"45,023,700","51,927,289","61,292,730","63,286,280","70,322,098",,324,286,260,
FPUR,"38,849,267","47,372,935","49,141,278","64,922,283","69,012,924",,73,81,85,
JCQR,"8,657,517","33,963,149","40,563,056","52,457,062","68,330,226",,,19,,
LIZT,"56,516,060","59,561,898","62,812,631","67,884,605",,,191,203,205,
KUGE,"60,849,453","64,986,303","73,310,904","55,867,472","67,515,378",543,684,750,756,
CZMD, -   ,"62,999,811","61,014,663",,"66,593,216",,86,91,95,
OWPN,"53,390,396","56,382,436","60,159,133","64,356,598","66,118,058",137,147,153,155,
BNOD,"53,390,396","56,382,436","60,159,133","64,356,598","66,118,058",,,27,,
WPOL,"34,000,589","44,880,719","46,920,612","47,093,455","65,934,082",,140,145,151,
JBLK,"7,492,083","11,089,171","18,677,520","34,066,733","65,712,354",,55,69,109,
GEPU,"46,115,918","55,562,649","51,892,522","64,066,447",,,,21,,
NWWO,"50,798,124","52,679,612","64,277,191","63,496,029","64,813,427",1146,1111,,,
ZIQP,"56,597,762","56,596,911","64,619,830","71,803,799","64,634,609",80,83,86,,
SBRZ,"23,101,043","29,742,418","42,834,356","63,383,136",,,553,644,658,
QKOW,"17,326,000","29,263,000","38,043,000","49,354,000","63,466,000",,61,88,119,
JVYR,"30,964,697","47,588,967","52,253,678","55,549,367","62,758,454",96,108,108,113,
ZKQM,"68,678,539","79,405,588","56,299,459",,,,170,191,208,
VISC,"52,362,931","53,056,213","52,480,403","58,410,362",,55,60,58,69,
OCHP,"24,264,589","38,005,665","44,189,469","54,806,535","59,244,416",170,193,215,227,
VWQF,"45,433,000","45,379,000","51,283,000","57,675,000",,153,159,173,,
HNIF,"58,345,756","62,946,809","67,456,163","72,218,222","57,384,185",,316,367,400,
ZROE,,"43,595,441","49,857,228","54,425,352",,,,1,,
VSPY,"34,001,225","37,479,138","42,560,321","49,276,166","55,202,287",,493,520,524,
MFVL,"62,443,540","53,045,859","47,791,668","46,652,200","54,500,525",,,4,,
QKPI,"21,200,333","49,146,681","65,972,853","62,038,659","54,069,171",,47,53,50,
QXOC,"224,427,296","63,430,628","35,509,000","53,384,396","55,204,948",,489,452,429,
XUYZ,,"42,559,928","44,835,850","49,113,551","52,076,928",186,226,258,276,
PFLC,"27,921,169","35,940,691","35,150,861","39,280,798","51,660,810",,122,129,121,
QFDI,"34,444,207","39,126,287","45,373,626","47,950,009","49,276,644",,4901,5088,5110,
ZAJZ,"25,108,338","29,546,419","38,891,055","45,619,963","50,510,353",41,61,72,98,
TVPL,"48,215,046","37,538,043","36,350,542","47,229,484","50,320,845",223,238,240,,
VNOV,"46,872,202","44,388,015","43,600,768","48,427,758",,31,31,32,32,
IOBP,"5,481,111","16,875,451","57,642,074","47,180,194",,,339,322,294,
JVXX,"27,684,000","33,800,000","34,340,000","35,968,000","39,214,000",,,,20,
CFIM,"40,455,530","41,886,198","37,294,345","47,145,583","48,958,413",,59,60,58,
FUXL,"18,645,129","25,302,276","33,906,946","43,211,178","47,232,369",1151,1349,1553,1624,
IGQI,"36,363,477","52,681,663","41,674,570","42,648,311","46,562,196",,57,56,57,
KWLC,"28,940,966","35,947,873","40,777,314","45,639,747",,138,304,361,375,
XTIW,"40,536,899","44,409,960","41,432,272","45,170,332",,267,248,261,278,
FTZK,"31,857,085","34,849,076","41,370,591","39,956,665","45,907,260",,44,43,45,
UTPD,"33,034,000","32,099,000","45,758,000","44,139,000","45,795,000",,,,8,
CYEC,"34,253,663","38,502,014","42,087,530","45,069,198","45,598,677",101,107,114,,
SRPL,"59,096,000","42,421,000","47,069,000","44,485,000",,,,97,92,
NYZZ,"36,736,773","37,906,565","40,865,598","43,912,318","45,324,095",260,265,279,291,
TBVG,"28,309,109","30,552,997","34,002,458","39,226,113","44,487,782",105,118,130,144,
PIBR,,"19,806,859","30,813,569","35,211,156","43,629,753",24,30,30,41,
BQYF,,,"17,925,611","28,898,294","43,504,063",,73,93,103,
GWGQ,"33,076,959","34,993,271","33,573,660","37,371,889","43,256,162",62,73,82,98,
XXXD,"22,643,595","20,321,993","27,974,539","34,145,503","43,230,456",,304,362,394,
EMZI,"19,217,899","26,665,000","33,333,000","37,242,000","42,974,000",,533,544,611,
YYUZ,"15,867,390","23,861,320","29,358,903","30,954,815","42,720,358",,166,176,189,
MGSU,"15,867,390","23,861,320","29,358,903","30,954,815","42,720,358",156,166,178,191,
TVEE,"7,488,675","12,234,327","33,162,304","34,765,393","42,716,334",,,42,46,
MGGQ,"21,459,433","32,687,345","34,861,893","34,638,468","42,542,488",,194,215,216,
DBRN,"28,119,519","38,917,483","39,639,594","43,564,283","42,537,664",,45,45,46,
ZWQU,"27,331,000","31,876,000","37,169,000","39,824,000","43,417,000",330,368,389,,
WDRM,,"26,751,968","34,463,832","41,419,711",,,25,28,38,
VNUY,"19,345,760","22,271,669","24,392,164","37,223,315","42,180,122",300,331,328,,
KKHZ,"5,351,052","6,046,131","4,583,171","13,435,302","41,623,901",,,182,257,
XRER,"13,629,116","15,747,151","27,231,638","31,902,998","41,457,497",,,19,,
NWBE,,"28,688,885","33,406,720","38,708,938","41,052,471",,194,221,237,
LXEL,,"60,182,799","49,952,876","47,543,984","41,006,692",387,387,343,,
BATU,"17,135,291","38,000,301","40,326,877","41,263,149","42,112,301",56,58,53,59,
PLZG,"28,466,227","30,972,080","33,346,691","38,192,481","40,575,935",,101,110,119,
CYCS,"38,234,764","31,072,607","34,386,053","37,318,103","40,534,830",1916,1978,1995,,
XOGX,"35,675,323","37,517,185","37,916,986",,,,34,34,34,
NPGQ,"17,978,995","18,605,401","24,073,718","32,444,982","40,427,554",31,36,45,43,
ZQHC,"31,032,352","36,143,753","37,855,544","37,916,822","40,325,486",,27,29,31,
LMTN,"7,844,209","5,308,735","4,345,195","16,933,637","40,015,871",97,114,135,,
QEVJ,,"30,247,343","34,986,037","38,705,270",,191,199,200,195,
NADZ,"18,402,391","24,623,598","30,629,996","35,029,191","39,329,834",,226,271,300,
HQEV,"7,967,508","14,309,973","17,407,496","22,907,043","39,152,388",,75,92,99,
GWHG,"25,235,327","28,727,507","25,121,111","36,872,020","38,903,190",,131,152,160,
ZJQA,,"25,818,734","35,233,916","36,515,378","38,818,017",,97,105,102,
XVLE,"22,386,508","26,147,396","32,182,092","34,936,736","38,585,116",281,302,344,,
EUBS,"41,831,971","46,266,659","50,134,625","70,796,605","38,220,153",,127,125,117,
GPQI,"21,614,644","26,231,089","36,197,686","51,369,170","38,158,275",,83,89,85,
QSZQ,"20,139,007","27,490,891","33,286,792","36,990,746",,60,61,57,,
BQDJ,"15,667,564","21,577,329","29,575,000","34,696,000","37,524,000",,36,41,44,
XXQL,"35,781,785","36,328,000","36,091,000","36,671,000",,135,125,111,113,
AQXZ,,"67,819,000","42,792,000","40,156,000","37,071,000",,197,215,225,
HHBB,"28,619,304","32,779,835","34,248,471","37,589,473","37,015,991",144,152,168,190,
BFTT,"6,707,045","10,728,045","16,730,198","24,775,974","36,757,488",76,94,108,135,
CGWN,"11,652,271","19,031,653","27,285,718","35,491,072",,,289,376,422,
HGOX,"30,075,254","36,545,591","29,614,478","29,504,316","36,036,521",34,428,487,540,
FWAS,"29,595,495","29,345,485","30,341,719","35,134,928",,,188,211,211,
HORQ,,"38,532,843","37,651,128","35,048,393",,,,51,56,
ZTHI,"14,688,314","16,211,373","17,691,684","18,780,460","35,673,555",,53,50,54,
AEAS,"17,103,243","21,801,971","25,354,692","29,235,822","35,562,883",48,55,70,73,
TSUM,"66,713,876","57,725,165","29,522,286","39,109,483","35,067,059",,,469,479,
WSLI,"56,792,803","42,827,611","32,612,943",,,,,27,,
LAJO,"27,068,673","29,955,881","32,595,019","35,789,226","34,776,696",,362,375,380,
SPRJ,"29,942,949","31,619,189","34,697,577","35,232,363","34,026,913",620,631,632,662,
BOZQ,"16,162,195","21,129,814","24,439,221","27,212,644","33,937,770",121,125,124,132,
PQPM,"19,613,184","23,370,000","27,933,000","31,668,000","33,782,000",,,,19,
DGDU,"12,529,995","17,624,939","17,623,504","21,104,378","34,166,884",92,103,103,102,
FPFU,"20,298,212","23,140,389","29,414,161","30,075,735","33,394,590",,118,121,131,
ZOJF,"26,776,166","28,735,750","32,261,381","35,669,360","33,079,927",,126,125,124,
ISHZ,"27,765,425","29,075,101","29,766,216","33,224,979","33,047,613",,56,58,57,
SZAI,"21,932,648","25,257,339","27,173,621","30,922,166","33,012,005",,,,17,
SUAH,"6,957,303","9,528,821","14,952,000","21,571,000","32,789,000",,,,17,
OZTE,"21,785,529","23,828,672","24,570,645","26,972,207","32,689,706",95,80,75,77,
YJAJ,"31,042,794","27,259,374","30,624,914","33,343,550","32,619,468",306,311,325,335,
DRMX,"8,442,469","8,295,479","7,963,347","9,280,351","32,575,918",1955,2006,2074,,
DIEK,"4,277,044","13,885,361","21,341,114","31,872,765",,222,239,241,258,
JEXN,"24,591,753","26,113,727","27,083,479","30,131,529","32,365,786",,,18,,
TTSL,"25,405,526","26,975,797","28,265,676","31,354,936",,124,122,123,,
HFKO,"14,313,928","17,011,610","22,317,017","28,020,873","31,527,272",,,18,,
UMTY,"35,964,411","24,218,988","25,866,951","22,155,547","30,845,057",,120,127,135,
RFUT,"6,847,469","9,454,599","14,899,814","21,990,067","31,159,972",,158,203,223,
AJYM,"6,847,469","9,454,599","14,899,814","21,990,067","31,159,972",89,126,153,167,
YQTH,"19,208,305","21,493,798","21,841,217","24,896,572","31,141,957",,264,308,345,
OPDZ,"6,059,808","6,029,437","10,950,437","21,182,580","30,974,238",,55,67,83,
QTBE,"775,768","27,936,255","32,224,642","25,335,511","30,609,625",51,52,53,,
CMRV,"16,224,933","18,702,507","18,490,084","26,023,282","30,043,167",,124,145,144,
JLPN,"25,257,110","29,885,562","30,211,896","26,446,082","30,021,267",172,167,179,,
ZHPB,"18,804,877","22,200,356","26,825,133","29,100,282","30,015,283",,254,256,271,
KQRU,"25,385,170","27,838,994","29,281,222","29,448,104",,,,4,,
ZIGD,"27,264,657","27,779,070","30,106,774","29,296,738",,,407,442,438,
FPQU,"27,051,270","26,811,910","27,890,318",,,,,320,,
ZXVY,"13,071,351","25,115,383","25,588,968","25,501,377","29,749,980",117,134,129,151,
WMXH,"16,631,000","19,229,000","21,889,000","25,643,000","29,685,000",36,42,45,46,
OQRJ,"27,873,798","24,632,299","28,884,236","29,918,191","29,580,498",42,42,47,48,
SFAF,"30,284,720","31,643,984","25,804,858","28,879,608",,162,181,203,,
JQAJ,"20,417,140","22,433,272","30,720,642","35,273,442","29,424,705",,,,29,
QXUS,"12,372,392","8,608,689","18,578,956","22,752,941",,,188,218,225,
WSNE,,"10,260,942","12,697,540","28,014,021",,,51,55,52,
IIHV,"11,034,573","16,050,883","20,514,809","27,774,566",,79,102,124,146,
HHTL,"25,994,303","26,272,142","31,313,150","30,361,042","28,304,418",,136,148,151,
CQEP,,"20,632,563","24,805,365","26,950,163","27,440,448",70,82,71,81,
HFGP,"14,647,975","16,467,484","18,430,758","21,356,550","27,438,833",,503,577,598,
UHOZ,"23,444,934","25,096,224","25,509,124","25,200,901","26,925,864",,,19,,
VJQD,"27,277,916","21,328,252","22,684,991","26,312,016",,,69,83,91,
BSJP,"19,760,148","28,201,534","27,014,333","26,295,710",,,55,50,42,
CILU,"14,264,367","18,578,071","24,016,332","27,007,855","26,747,688",,69,55,48,
UNES,"26,367,755","24,435,106","25,039,649",,,,133,159,162,
DYDP,"109,202,583","96,603,615","16,191,860","68,894,668","26,664,130",,147,166,169,
PYTU,"29,107,459","28,136,230","25,621,867","25,320,294","26,612,051",87,88,97,,
TNVB,"6,668,331","12,286,094","17,325,809","17,478,251","26,557,349",,83,94,96,
ZQVM,"46,715,126","48,224,014","41,870,029","18,928,648","27,006,466",304,256,166,149,
BDJW,"14,975,798","16,008,671","17,897,550","27,182,966","26,514,221",,211,230,232,
KNSK,"10,419,601","10,531,132","11,399,431","14,363,845","22,833,075",135,173,247,,
VPHT,"23,368,910","29,344,534","30,040,607","26,154,144","26,240,806",,35,35,33,
WHMH,"14,025,849","18,126,433","19,708,813","20,861,609","25,771,310",62,70,84,,
LXIN,"72,864","1,831,367","8,869,142","22,291,777","25,437,551",,72,103,103,
BERS,"6,845,980","10,286,346","12,320,518","16,591,661","24,949,959",,,11,,
PVRA,"19,371,000","20,899,000","23,973,000","25,921,000","24,906,000",206,225,148,181,
MWUC,"7,008,720","10,486,871","13,909,762","18,766,219","24,794,969",,152,162,137,
PVIC,"20,553,833","28,574,356","26,517,252","17,683,385","24,179,921",,29,31,34,
YKYF,"6,866,366","10,327,895","14,940,079","23,638,675",,,,323,319,
LLEE,"28,530,074","24,847,253","21,723,775","23,419,726","24,626,820",136,138,127,123,
THIZ,"17,391,193","22,400,187","22,281,626","22,689,297","23,573,273",,,,15,
OTMH,"9,158,575","18,626,777","17,633,926","25,136,204","23,481,835",40,46,54,57,
LTBH,"18,361,077","24,151,408","26,793,641","28,877,277","24,056,302",,,23,,
YGTQ,"15,202,378","19,243,752","17,470,958","21,383,180","23,390,790",,,,2,
CIEL,"14,719,176","16,100,917","18,798,690","22,581,645","24,085,881",61,74,83,96,
LJKN,"20,003,503","14,201,525","11,758,017","28,082,744","23,288,988",,69,80,79,
NNGC,"10,495,685","10,212,072","20,549,935","22,330,164","23,138,139",,4249,4318,4213,
QMMP,"22,677,873","24,647,264","21,556,968","23,079,034","23,017,854",,36,34,35,
FCAY,"9,767,000","13,915,000","15,996,000","18,590,000","22,753,000",,172,198,55,
YOYN,"14,638,636","19,361,326","16,499,840","29,103,363","23,033,218",,33,29,33,
XGMN,"14,290,523","19,888,131","18,108,450","17,238,917","23,285,263",,68,69,73,
MFHZ,"13,646,185","12,061,521","10,600,878",,"22,339,903",,,147,162,
DPLO,"19,352,730","26,055,511","27,655,907","28,948,607","22,055,466",78,86,85,,
ARRG,"9,446,513","12,574,411","20,371,029",,,131,157,178,,
NYZD,"5,273,688","7,098,826","8,004,522","14,532,428","21,747,308",61,92,131,143,
DMMY,"15,497,695","18,254,330","19,893,272","22,687,259","21,681,860",,53,64,66,
TURU,"11,236,465","13,016,471","13,241,656","18,328,507","21,563,755",542,687,774,808,
UEFY,"13,778,004","15,293,346","16,095,256","20,751,252",,98,116,127,133,
VWJN,,"236,325","1,416,912","7,989,552","21,488,643",,45,95,144,
YDVV,"11,525,917","13,706,118","16,465,499","21,050,617",,172,182,223,259,
LEJB,"7,238,739","10,997,714","13,006,996","19,375,141","21,343,990",,56,57,59,
HPUP,"3,734,373","7,905,905","13,272,833","20,767,489",,,,118,124,
EMMM,"12,677,887","15,145,693","18,257,885","19,650,677","21,135,329",44,48,52,54,
NIPZ,"16,504,887","16,725,547","18,773,898","19,310,439","21,122,083",120,129,136,137,
DRWP,"5,523,033","7,670,097","12,711,441","20,127,413",,,,23,,
UKYL,"12,795,682","14,313,587","19,515,133","20,053,434",,,341,347,376,
CRED,"14,890,522","22,909,138","23,641,014","20,034,819",,54,50,37,,
DYUW,"10,218,476","10,927,346","19,360,332","20,429,519","20,378,086",,117,124,144,
ETEI,"14,149,744","16,978,780","18,634,744","20,792,564","20,876,008",,,5,,
GQXV,"15,576,614","16,470,033","15,991,455","17,228,672","20,252,931",,74,88,89,
LLOS,"14,227,865","22,471,977","26,168,566","28,672,325","20,233,352",62,69,72,71,
INAV,"24,026,000","18,018,000","18,169,000","25,777,000","20,048,000",,128,120,104,
MCUJ,"12,423,131","15,064,466","21,224,010","18,181,488","20,035,618",204,213,196,191,
USOX,"19,135,547","18,001,540","18,747,716",,,251,249,179,148,
AWXP,"19,297,107","19,100,372","19,702,730","21,634,948","20,332,348",127,134,126,134,
AISS,"59,327,279","48,456,307","36,454,651","25,786,573","19,721,877",,,138,102,
UUBB,"9,503,146","10,078,970","13,165,136","19,268,158",,,56,68,75,
EDNP,"8,119,730","12,177,301","15,496,272","19,463,422",,,27,41,45,
ZNDC,"29,767,254","28,073,383","22,140,391","18,575,017","19,142,667",,,2,,
VTTP,"10,973,107","14,515,938","17,151,034","18,701,608",,,111,111,89,
DPIA,"6,384,330","9,377,724","14,065,222","15,690,769","19,044,438",89,119,162,202,
ZHQP,"20,788,000","20,011,000","19,329,000","19,401,000","19,040,000",,,10,,
EZMC,"14,759,504","14,296,746","14,563,408","18,574,506",,132,127,134,138,
XHMQ,"12,812,209","15,104,933","16,698,433","18,505,353",,140,154,156,,
PKDV,"8,597,925","20,310,412","23,706,003","18,377,782",,116,130,135,133,
OUCR,"10,390,327","12,532,859","14,486,318","16,591,260","18,600,975",,20,29,37,
PDSI,"9,008,734","11,081,944","15,267,022","18,189,749",,,90,122,134,
UCMX,"11,053,368","11,593,606","11,392,197","14,937,243","18,241,879",1020,99,95,,
IHVS,"17,637,574","18,168,291","18,564,235","17,134,997","18,449,114",,,324,317,
VRLT,"7,655,526","13,595,411","13,356,693","10,248,884","18,259,943",187,190,179,,
GQGV,"26,359,807","20,218,769","16,881,986","20,474,390","18,241,284",,,3,,
AMBD,"12,864,041","14,543,741","17,057,848",,,,297,358,380,
