id,name,tagline,industry,industry_2,type,address,street,street_number,zip,country,city,sectors
1531354,Lukida Science,Lukida Science helps scientists to obtain structural income by connecting them to people who value their research,Kids,,2,"Netherlands, Amsterdam","","",1011 MG,Netherlands,Amsterdam,StartupAmsterdam2020
1281207,Jewish Federation of Cleveland,"We promote the well-being of our community, its members, and Jews throughout the world",Kids,,2,"United States, Cleveland",,,,United States,Cleveland,community
1402646,Nabi,It's the everything tablet that grows with you,Kids,,2,"United States, Rockville",,,,United States,Rockville,branding
1653207,Glide.org,"GLIDE is to create a radically inclusive, just and loving community mobilized to alleviate suffering",Kids,,4,"United States, San Francisco",,,94102,United States,San Francisco,"outside tech,community,Social"
1300475,GrandBox,"Monthly care package for older loved ones, seniors, grandparents, and the elderly",Kids,,2,"United States, Chicago",,,,United States,Chicago,elderly care
142106,Newton,"Newton has created the first 100% breathable, washable and recyclable crib mattress. Babies and their parents rest smarter with Newton. 
http://t.co/vRBaDtnSAs",Kids,,2,"United States, New York",,,,United States,New York,"baby,Parenting"
1640472,Wana Family Network,Online marketplace for family-to-family babysitting exchange,Kids,,2,"United States, Altadena",,,91001,United States,Altadena,sharing economy
2851294,BotBuilders.Tech,,Kids,,2,"Bengaluru, Karnataka 560060, India",,,560060,India,Bengaluru,
113835,Ittavi,Coming Soon page,Kids,,2,"United States, Santa Clara",,,,United States,Santa Clara,agency
113329,Party City,A party goods supplier and party retail chain,Kids,Event Tech,4,"United States, Elmsford",,,,United States,Elmsford,
152483,littlelane,LittleLane gives parents access to the best local kids activities Families can explore a variety of new options seamlessly with LittlePass,Kids,,2,"United States, San Francisco",,,,United States,San Francisco,Social
2015272,Possip,Possip | Parent Engagement Platform | School Feedback App,Kids,Education,2,"1405 Forrest Ave, Nashville, TN 37206, USA",Forrest Avenue,1405,37206,United States,Nashville,
896774,SupportPay,Only payment platform for parents sharing child expenses and managing child support,Kids,Fintech,2,"2443 Fair Oaks Blvd, Sacramento, CA 95825, USA",Fair Oaks Boulevard,2443,95825,United States,Sacramento,"financial service,children,divorce,Parenting,see cost management,financial management,sharing,automated process,platform,Automated Technology"
154697,Merge,AR/VR learning for kids,Kids,Education,2,"United States, San Antonio",,,,United States,San Antonio,smartphone
151529,MateLife,MateLife is the next big step of the online dating and social networking. Full presentation coming soon.,Dating,,2,"Paris, France",,,,France,Paris,"Dating,Social,Freemium"
1458926,SHAKN Dating APP,A dating application that allows people to find a partner,Dating,,2,"Paseo de la Castellana, 43, 28046 Madrid, Spain",Paseo de la Castellana,43,28046,Spain,Madrid,"Dating,app"
1315405,Possip,Engagement platform giving schools a pulse on parent feedback,Kids,,2,"United States, Nashville",,,,United States,Nashville,"Student,automated process,platform,SaaS,Automated Technology"
978854,MobisleApps,MobisleApps is a Swedish software development company that develops mobile applications,Dating,,2,"Sweden, Stockholm","","","",Sweden,Stockholm,"Information Technology,Developer Tools"
216857,Neuro'motion,"Neuromotion builds rigorous, well-designed studies and collaborates with the finest minds and institutions in the world",Kids,,2,"United States, Boston",,,,United States,Boston,"Wearable,neurology,video,branding,monitoring"
124481,CollegeComplete.com,collegecomplete.com Is For Sale,Dating,Music,2,"United States, Deerfield Beach",,,,United States,Deerfield Beach,
168785,The Cynja,The Cynja | The Cynja is an illustrated story introducing kids to the awesome world of cybersecurity and technology,Kids,,2,"20004 Washington, District of Columbia, United States","","",20004,United States,Washington,"kid,cybersecurity,Content"
1432700,AR Flashcards,Original augmented reality flash card app that started it all!,Kids,Education,2,"United States, St. Louis",,,,United States,St. Louis,"app,Printing"
1466390,Perfect Earth,Perfect Earth,Kids,Education,2,"Netherlands, Haarlem",,,2011 MH,Netherlands,Haarlem,"StartupAmsterdam2020,Social"
1487068,The Regard Group,Provider of residential care and accommodation for adults and children with permanent learning disabilities,Kids,Real Estate,2,"Princeton Mews, 167 169 London Rd, Kingston upon Thames KT2 6PT, Verenigd Koninkrijk",London Road,"","",United Kingdom,Kingston upon Thames,
1506171,Sterilin,Sterilin is manufactures and supplies disposable plastic products,Kids,Marketing,2,"United Kingdom, Newport",,,NP19 8,United Kingdom,Newport,"packaging and containers,outside tech"
1465874,Spark Networks,Leading global dating company with a widening portfolio of premium & freemium apps,Dating,Telecom,2,"11150 CA-2 #600, Los Angeles, CA 90025, USA",California 2,11150,,United States,West Los Angeles,"platform,SaaS"
96464,The Little Gym of Katy,A fun space for kids of all ages to play and do activities,Kids,Gaming,2,"United States, Katy",,,,United States,Katy,
1430911,SeekingArrangement,SeekingArrangement delivers a new way for relationships to form and grow,Dating,,2,"United States, Las Vegas",,,,United States,Las Vegas,"social network,Social,Luxury"
1516200,Joki Kinderbetreuung,Enabling children to have a bilingual day-to-day care that goes far beyond the standard in terms of pedagogical and human standards,Kids,,2,"Haidelweg 46, 81241 Munich, Duitsland",Haidelweg,"","",Germany,Munich,"children,Health Care"
1494583,Education for Everybody,Magazine covering special needs and disability for children and young adults,Kids,Education,2,"United Kingdom, Chorley","","",PR7 2,United Kingdom,Chorley,Publishing
85919,Spark Networks,"Spark Networks – A Leading Provider of Iconic, Niche-Focused Brands.",Dating,,4,"11150 CA-2 #600, Los Angeles, CA 90025, USA",California 2,11150,,United States,West Los Angeles,"presentation,network,Intellectual Property,presentation,community"
144205,Wummelbox,The Wummelbox develops fun and creative arts and crafts projects for kids between the age of 3 and 8,Kids,,2,"United States, New York",,,,United States,New York,
130636,iCreate,,Kids,,2,"United States, Austin",,,,United States,Austin,
1693744,Flora Family Foundation,Flora Family Foundation supports public benefit organizations working throughout the world in diverse sectors,Kids,,2,"United States, Menlo Park",,,94025,United States,Menlo Park,
185119,"BroTech, LLC",BRO,Dating,,2,"United States, Bethesda",,,,United States,Bethesda,
1257984,WeeSchool,"WeeSchool is about leveling the playing field, starting from birth",Kids,Education,2,"United States, Greenwood Village",,,,United States,Greenwood Village,"E-Learning,app,video"
12638,Dream Cheeky,Dream Cheeky designs and manufactures a large range of Mobile and Computer gadgets,Kids,,2,"Hong Kong, Hong Kong",,,,Hong Kong,Hong Kong,"toy,computer,app"
1757547,Photon Robot,Photon robot explorer of Young talents,Kids,Robotics,2,"Żurawia 71, 15-540 Białystok, Poland",Żurawia,71,15-540,Poland,Białystok,app
948115,Mia.com,"A leading female lifestyle service platform covering business integrating retail, private label, and membership marketing",Kids,,4,"Beijing, China",,,,China,Beijing,"verified Unicorns and $1B exits,children,Shopping"
1370747,Urbacraft,Urbacraft combines the physicality of LEGO with the hackability of Minecraft !,Kids,Real Estate,2,"United States, New York",,,,United States,New York,
178758,ABC Family,"Follow @FreeformTV, the new name for ABC Family!",Kids,Marketing,4,"United States, Burbank",,,91502,United States,Burbank,"Innovation Radar,Adtech"
1408278,Laura + Brad Photo,Photography Studio specializing in Newborn Maternity Family Headshot and Wedding,Kids,,2,"United States, Lake Forest",,,,United States,Lake Forest,Printing
1519782,Maybe,Mobile dating service,Dating,,2,"Östermalmsgatan 84, 114 50 Stockholm, Sweden",Östermalmsgatan,84,114 50,Sweden,Stockholms län,
946736,My Bino,My Bino manaufactures Bino bracelet that is connected with My Bino app that gives real time alerts to parents,Kids,,2,"Bargeweg, 8000 Brugge, Belgium",Bargeweg,,8000,Belgium,Brugge,"time management,Parenting,Wearable,app,SaaS"
169837,StudentRND,StudentRND,Dating,,2,"United States, Seattle",,,,United States,Seattle,
2186764,Core Therapy Associates,Home - Gerry Tolentino,Kids,,2,"Schaumburg, IL, United States","","",60193,United States,Schaumburg,
1613357,INVX,Angel Investment Fund located in Colombia focused on early stage startups in Latin America,Dating,Kids,2,"Colombia, Bogota, D.C.",,,110311,Colombia,"Bogota, D.C.",
1314213,The Johns Hopkins Bloomberg School of Public Health,"Research, education, and practice to find solutions for health problems",Kids,Education,8,"United States, Baltimore",,,,United States,Baltimore,
1485611,Novellic,"App for creating, finding, joining and managing book clubs with a strong focus on genre fiction",Dating,,2,"United Kingdom, London","","",SW1A 2,United Kingdom,London,
1268413,Deals2Buy,On consumer electronics,Kids,Semiconductors,2,"United States, Austin",,,,United States,Austin,"platform,SaaS"
1451118,Mojo by Nanovare,mojo pro,Kids,,2,"France, Lyon",,,69002,France,Lyon,
2026805,"Electus Global Education Co., Inc.",,Kids,,2,"Tampa, FL, United States","","",33602,United States,Tampa,
103840,The Little Gym of Spring,Activities for Kids | The Little Gym of Spring,Kids,,2,"United States, Spring",,,,United States,Spring,"kid,activities"
1775213,Meet5,Meet5 is between dating and socializing. Meet new people in groups of 6 people,Dating,,2,"Germany, Frankfurt",,,60311,Germany,Frankfurt,"Dating,Social"
2944774,Photon,,Kids,Education,2,"Bialystok, Woj. Podlaskie, Poland","","",15-007,Poland,Bialystok,
2090093,QuotesRain,"AllAuthor - Discover New Books, eBook Deals and Authors",Dating,,2,"Noida, UP, India","","",201304,India,Noida,
1254031,Quercus Publishing,"Quercus Publishing publishes a wide variety of books,such as crime and thriller novels, literary works, and narrative nonfiction titles",Kids,,2,"United States, New York",,,,United States,New York,"Publishing,Printing"
1796091,Encantos,Encantos is on a mission to become the most impactful entertainment-driven edtech company in the world,Kids,Education,2,"Culver City, CA, USA",,,,United States,Culver City,"Digital Entertainment,family,children,app,video"
1426260,Threadless,"Global community-driven design platform featuring designs created by various designers, artists and general consumers",Kids,Telecom,4,"United States, Chicago",,,,United States,Chicago,"Apparel,Crowdsourcing,clothes,platform,sharing economy,community,SaaS,arts & culture"
117997,Handshake,Handshake is the B2B Commerce platform powering wholesale trade in-person and online. Try Handshake free now!,Dating,,4,"United States, New York, Rockefeller Plaza, 75",Rockefeller Plaza,75,10019,United States,New York,"Wholesale,trading platform,Commerce,platform"
1478978,Opération Éléphant,Opération Éléphant,Dating,,2,"France, Nantes",,,44000,France,Nantes,
894114,Quellehistoire,quellehistoire.org - Deze website is te koop! - de beste bron van informatie over quellehistoire.,Kids,,2,"France, Paris",,,,France,Paris,
136167,A Painting Fiesta Studio,,Kids,,2,"United States, Hemet, West Florida Avenue",West Florida Avenue,,,United States,Hemet,
124187,Vielma Vision Eye Care,"Optometrist in Irving, TX | Vielma Vision EyeCare",Dating,,2,"United States, Irving",,,,United States,Irving,Visualization
1733948,Budge Studios,Developer of mobile applications to entertain and educate children around the world,Kids,,2,"Canada, Montreal",,,H2L,Canada,Montreal,app
130516,Robo Wunderkind,"Learn to code through the joy of play, teaching children how to code through playing with toys",Kids,Gaming,2,"Marxergasse, 1030 Wien, Austria",Marxergasse,,1030,Austria,Wien,"sustainable development goals,robotic,coding,Student,Consumer Electronics,primary education"
1383985,"The CPR LIFEWRAP,","Disposable cpr template used to help bystander perform safe, effective cpr during life or death situations",Kids,,2,"United States, Chattanooga",,,,United States,Chattanooga,
899724,Photonentertain,Photon Robot: Teach your kids how to program,Kids,Semiconductors,2,"Żurawia 71, 15-540 Białystok, Poland",Żurawia,71,15-540,Poland,Białystok,"Information Services,kid,internet of things,Information Technology,app"
1374663,BusyKid | LeapSpring,"Easy to use solutions that empower parents to lead, prepare kids to succeed, and connect the family as a true team",Kids,,2,"United States, Phoenix",,,,United States,Phoenix,app
237976,MixP3 Inc.,"MixP3 - Create. Discover. Share. | Its the mixtape, reimagined.",Dating,,2,"Atlanta, GA, United States","","",30303,United States,Atlanta,Freemium
1403641,Babies n Mamas,Children are the most pAt Babiesnmamscom,Kids,,2,"United States, Palo Alto",,,,United States,Palo Alto,"clothes,Apparel"
1499996,Yellow Dot Nursery,"The Yellow Dot group of Nurseries has over 18 years of experience, specialising in children aged between 4 months and 5 years",Kids,Education,4,"United Kingdom, Basingstoke",,,RG21 4,United Kingdom,Basingstoke,"outside tech,consulting services"
1379833,Resthaven Funeral Home and Memory Garden,Various memorial options for all family members or pets,Kids,,2,"United States, Fort Collins",,,,United States,Fort Collins,"Funeral,regtech compliance,regtech compliance,insurtech,compliance,community,Social"
136875,Newton Sleep,"Safe, Breathable Crib Mattresses | Newton - Sleep Tight, Breathe Easy",Kids,,2,"United States, New York",,,,United States,New York,"bed,sleeping"
1343506,Core Psychotherapy Center,"Core Psychotherapy Center, Ltd has been providing psychotherapy services in the Chicagoland area",Kids,,2,"United States, Schaumburg",,,,United States,Schaumburg,"children,community"
124791,Tandem Lane,GrandBox - a special gift for your grandma or grandpa,Kids,,2,"United States, Chicago",,,,United States,Chicago,
1463494,Reima Oy,Children's clothing for active kids | Reima kidswear,Kids,Fashion,4,"Finland, Vantaa",,,01300,Finland,Vantaa,"Innovation Radar,Apparel,clothes,branding"
1305968,Komae,The communal sharing platform for babysitting and beyond,Kids,,2,"United States, Akron",,,,United States,Akron,"Parenting,social network,app,platform,branding,sharing economy,SaaS,Social"
89765,FriendFinder,"FriendFinder - Have fun, meet people, & find love.",Dating,,2,"United States, San Francisco",,,,United States,San Francisco,"Search Engine,Freemium"
1260024,The Bro App (BRO) - BroTech,Software and mobile app development company,Dating,,2,"20814 Bethesda, Maryland, United States","","",20814,United States,Bethesda,"chat,social network,app,Social,Messaging"
1353063,Elevar Technologies,It developes software that helps their clients work more productively,Kids,Event Tech,2,"United States, Raleigh",,,,United States,Raleigh,
1293296,Kokopax,"Baby, Baby products, Infant",Kids,,2,"United States, Los Angeles",,,,United States,Los Angeles,
1299267,MaineToday Media,MaineToday Media’s award-winning brands and services reach the widest audience in the state of Maine,Kids,,2,"United States, Portland",,,,United States,Portland,
1271969,Zero G Software,Zero G is proud to bring you an Internet-based updating service for software applications and data,Dating,,4,"United States, Itasca",,,,United States,Itasca,"platform,SaaS"
1404297,Alvin Ailey American Dance Theater,"Modern dance company based in new york, new york",Kids,,2,"United States, New York",,,,United States,New York,
30248,First Step Fund,An early stage investment fund in partnership with the Invest Detroit Foundation,,,3,"United States, Detroit",,,,United States,Detroit,
1877360,Melbourne Innovation Centre,EVENTS. OFFICE SPACE. MENTORS,,,12,"Nothern Melbourne Tafe, 61 Civic Dr, Greensborough VIC 3088, Australia",Civic Drive,61,3088,Australia,Greensborough,
1539856,Zhejiang Jinke Entertainment Culture,Manufacturer and seller of peroxides and activating agents,,,2,China,,,,China,Changzhou,
935561,Institut Supérieur de Gestion,"The ISG business school or Institut Superieur de Gestion, is a business school, based in Paris, France",,,8,"8 Rue de Lota, 75116 Paris, France",Rue de Lota,8,75116,France,Paris,school
936455,Rheinisch-Westfälische Technische Hochschule Aachen / RWTH Aachen,,,,8,"Templergraben 55, 52062 Aachen, Germany",Templergraben,55,52062,Germany,Aachen,
1216735,TenX2 Partners,"TenX2 Partners are a global virtual consultancy offering Xponential Scaling, M&A and Strategic Services",,,3,"Hong Kong, Hong Kong",,,,Hong Kong,Hong Kong,
154518,Quantified Vapor,quantified vapor | bluetooth vaporizers | choose the right e-liquid for you,,,2,"United States, San Francisco",,,,United States,San Francisco,bluetooth
1211978,Oak Grove Systems,"Oak Grove Systems, Document Accelerator, is e-Process software",,,3,"United States, Altadena",,,,United States,Altadena,
1217231,News Corp Australia,"Country’s leading media company and a subsidiary of news corp, a global leader in media and information services",,,3,"Australia, Sydney",,,,Australia,Sydney,
2039650,Brightfield,Brightfield | Talent Data Exchange (TDX),,,2,"20004 Washington, District of Columbia, United States","","",20004,United States,Washington,consulting services
936060,Université libre de Bruxelles,"The Université libre de Bruxelles is a French-speaking private research university in Brussels, Belgium. Founded in 1834, it is one of the most important Belgian universities",,,8,"Franklin Rooseveltlaan 50, 1050 Brussel, Belgium",Franklin Rooseveltlaan,50,1050,Belgium,Brussel,Research
936515,University of San Francisco - Masagung Graduate School of Management,,,,8,"2130 Fulton St, San Francisco, CA 94117, USA",Fulton Street,2130,94117,United States,San Francisco,
936137,Thunderbird School of Global Management,Thunderbird School of Global Management educates global leaders who create sustainable prosperity worldwide,,,8,"1 Global Pl, Glendale, AZ 85306, USA",Global Place,1,85306,United States,Glendale,"creating,school,Sustainability"
214270,Kha Creation Pvt. Ltd.,,,,2,"India, Mumbai",,,400004,India,Mumbai,
93443,WAKTM,CheekyVentures CheekyPromo WAKTM PianoTalent,,,2,"Howard Rd, New Malden KT3 4DP",Howard Road,,KT3 4DP,United Kingdom,New Malden,
956470,Zee-as Aan Zee 12,Werken en vergaderen op het strand in Zandvoort | De Zee-as,,,14,"Boulevard de Favauge 12, 2042 Zandvoort, Netherlands",Boulevard de Favauge,12,,Netherlands,Zandvoort,
1776714,Dussmann Office Center 'Europa-Center',,,,14,"Tauentzienstraße 9-12, 10789 Berlin, Germany",Tauentzienstraße,9-12,,Germany,Berlin,
1450984,Mind Your Own Business,Non-profit organization that engages boys from vulnerable neighborhoods to strengthen their potential,,,16,"Otto Mønsteds Gade, Copenhagen, Denmark",Otto Mønsteds Gade,,,Denmark,Copenhagen,
1292463,American Bar Association,American Bar Association was founded in 1878,,,16,"United States, Chicago",,,,United States,Chicago,
17796,M2M,"Innovación en Marketing, Branding, Creatividad y Disrupción.",,,15,"Spain, Madrid, Calle de la Ribera del Loira, 38-46",Calle de la Ribera del Loira,38-46,28042,Spain,Madrid,agency
165530,Cyber Reliant Corp,,,,2,"United States, Annapolis",,,,United States,Annapolis,
1248624,Planorama,"Planorama helps CPG companies digitalize in-store measurements: with their Image Recognition solutions for Retail, they offer real-time actionable insights from a simple shelf photo",,,2,"38 Rue Breguet, 75011 Paris, France",Rue Bréguet,,75011,France,Paris,"Image Recognition,Retail"
1491728,Maney Publishing,Independent publisher of academic and professional journals,,,2,"United Kingdom, Leeds",,,LS1 5,United Kingdom,Leeds,"Publishing,outside tech"
1246694,Humana Ventures,Venture capital investing arm of humana inc,,,3,"United States, Louisville",,,,United States,Louisville,
1372854,Jwpet.com,Quality products to enhance the lives of pets,,,2,"United States, Teterboro",,,,United States,Teterboro,
162203,Triton Digital,Global technology and services leader to the digital audio and podcast industry,,,4,"United States, Los Angeles",,,,United States,Los Angeles,
1478402,Nexto SAS,Company specializes in information system infrastructure technologies,,,2,"France, Marseille",,,13001,France,Marseille,"Open Source,consulting services"
1552045,Indian Institute of Technology (BHU) Varanasi,A public engineering institution founded in 1919 with 13 departments and three inter-disciplinary schools,,,8,"India, Varanasi",,,221002,India,Varanasi,
141423,AFL,"Fiber optic cable, transmission and substation accessories to its clients",,,4,"United States, Duncan",,,,United States,Duncan,Hosting
1513837,Friedola Tech,friedola TECH – Lightweight performence,,,4,"Ershäuser Str. 4, 37308 Geismar, Duitsland",Ershäuser Straße,,,Germany,Geismar,
1634546,Tuechtig,Coworking space in Berlin,,,12,"Haus D06 Oudenarder Straße 16 Haus D06, 1. OG, Eingang zwischen PIN AG und Stoff Outlet, 13347 Berlin, Germany",Oudenarder Straße,"","",Germany,Berlin,
1722430,The American School in London,School in london,,,16,"United Kingdom, London",,,SW1A 2,United Kingdom,London,
84024,Embrace Mobile,Embrace Mobile,,,2,"United States, Oxford",,,,United States,Oxford,
889604,TRUMPF Venture,"Manufacturing solutions in the fields of machine tools, laser technology, and electronics",,,3,"Ditzingen, Germany",,,,Germany,Ditzingen,
1593927,TGO Consulting,TGO Consulting has provided innovative business solutions designed to improve the productivity and performance of organizations,,,15,"Canada, Markham",,,L3R,Canada,Markham,consulting services
200798,NetCarrier,Integrated communications provider (icp) that builds communication solutions customized to their client’s businesses,,,4,"United States, Lansdale",,,,United States,Lansdale,
2927469,CNP Start,CNP Start is the startup acceleration program of CNP Partners,,,3,"Carrera de S. Jerónimo, 21, 28014 Madrid, Spain",Carrera de San Jerónimo,21,28014,Spain,Madrid,
980464,PSPDFKit,"The Leading PDF Framework for every Platform: iOS, Android, Windows, macOS and the Web (WebAssembly & Docker)",,,4,"Kaiserstraße, Vienna, Austria",Kaiserstraße,,,Austria,Vienna,"Cloud Computing,pdf,conversion,Document Management,app"
1241450,Eight Dragons,Technology-investment firm that invests in and operates companies to support a full-stack development,,,3,"United States, Miami",,,,United States,Miami,
1218700,XPND Capital,Private equity firm focused on growth investments in exceptional quebec-based companies,,,3,"Canada, Montreal",,,,Canada,Montreal,
33734,ECE Campus,Helps entrepreneurs improve and turn their ideas into real innovations,,Education,3,"Netherlands, Rotterdam, Marconistraat, 16",Marconistraat,16,3029 AK,Netherlands,Rotterdam,"Office Space,Corporate Training,consulting services,agency"
947813,ProSyst Software,Develops and sells software solutions that are used as the technological basis for consumer networking services,,,2,"Ullsteinstraße 128, 12109 Berlin, Germany",Ullsteinstraße,128,12109,Germany,Berlin,"Network Management,edge processing,Network Security"
1878969,Rena,Home - Rena,,,4,"Höhenweg 1, 78148 Gütenbach, Germany",Höhenweg,1,78148,Germany,Gütenbach,
1483899,Cocelec,"Cocelec distributes electrical, audiovisual, and culinary products",,,4,"France, Saint-Florentin",,,89600,France,Saint-Florentin,"Wholesale,outside tech"
243355,Aire Serv,"Professional heating and air conditioning installation, maintenance, and repair company",,,4,"United States, Winchester",,,,United States,Winchester,
120017,ShopTalk,"Where innovators come together to create the future of retail. March 22-25, 2020, Mandalay Bay, LV",,,2,"Las Vegas, NV, USA",,,,United States,Las Vegas,Retail
1498215,Ravensbourne (college),School,,,8,"United Kingdom, London",,,SW1A 2,United Kingdom,London,
1618631,Stockholm university school of business,,,,8,"Sweden, Stockholm",,,111 53,Sweden,Stockholm,
936937,SUPINFO International University,"SUPINFO International University is specializing in digital curriculum.  Our 4 Institutes : IT, Business & Innovation, Art & Design, Communication & Medias",,,8,"64 Avenue Fal Ould Oumeir, Rabat, Morocco",Avenue Fal Ould Oumeir,64,,Morocco,Rabat,"communication,arts & culture"
2941408,Choice Cancer Care,,,,2,"Irving, TX, United States","","",75060,United States,Irving,
150083,Fluke Networks,Developer and supplier of computer network troubleshooting tools,,,4,"Everett, WA, United States","","",98201,United States,Everett,Hosting
1214948,Independent Financial Partners,"Sec registered investment adviser (ria) located in tampa, florida",,,3,"United States, Tampa",,,,United States,Tampa,
1310084,FARO,3D measurement and imaging technology,,,4,"United States, Lake Mary",,,32746,United States,Lake Mary,imaging technology
1828566,Regus - Luxembourg City Centre,,,,14,"26 Boulevard Royal, 2449 Luxembourg",Boulevard Royal,26,2449,Luxembourg,Luxembourg,
118419,Uni Niche,,,,2,"United States, Los Angeles",,,,United States,Los Angeles,
935107,University of Washington - Michael G. Foster School of Business,University of Washington Michael G. Foster School of Business,,,8,"PACCAR Hall, 4273 E Stevens Way NE, Seattle, WA 98195, USA",East Stevens Way Northeast,4273,98195,United States,Seattle,school
2018687,Wire communications,Die Werbeagentur für Angreifer | wire,,,14,"Fettstraße 7A, 20357 Hamburg, Germany",Fettstraße,7A,20357,Germany,Hamburg,
1753685,College Tutors 4 You,Personalized tutoring to all major college disciplines,,,8,"United States, New York",,,10007,United States,New York,
1754803,Alderleaf Wilderness College,Wilderness Survival School,,,8,"United States, Monroe",,,71201,United States,Monroe,
110768,University of Cambridge Enterprise,,,,8,"United Kingdom, Cambridge",,,,United Kingdom,Cambridge,
237298,Tree-Axis,Tree-Axis | Designing and coding for 15 years.,,,2,"United States, Los Angeles",,,,United States,Los Angeles,coding
1290458,Alpha Actual,Private cloud computing solutions & enterprise wide document management solutions,,,2,"United States, Covina",,,,United States,Covina,
1389180,Lime Lab,Product development consultancy firm offering design and technical engineering solutions for manufactures and companies,,,2,"United States, San Francisco",,,,United States,San Francisco,consulting services
2388,Index Ventures,International venture capital firm with offices in SF and London,,,3,"United Kingdom, London, Burlington Gardens, 3",Burlington Gardens,3,W1S 3EP,United Kingdom,London,"Aerospace,Automotive,PaaS,robotic,Security,Apparel,Insurance,medical / healthcare,Music,Techstars 501 investors,Wearable,on-demand,financial service,pharmaceutical,Travel,media production,Consumer Electronics,cryptocurrencies,wellness / beauty,Biotechnology,Analytics,Retail,SaaS,Social,Social Media,Messaging"
179862,The Flexitallic Group,Flexitallic Ltd,,,4,"United Kingdom, Cleckheaton",,,BD19,United Kingdom,Cleckheaton,Hosting
1639774,FICO (Fair Isaac Corporation),"Fair Isaac Corporation enables businesses to automate, improve, and connect decisions to enhance business performance",,,4,"United States, San Jose",,,95113,United States,San Jose,"Predictive Analytics,outside tech,platform,consulting services"
2018691,Wire Berlin,,,,14,"Pfuelstraße 5, 10997 Berlin, Germany",Pfuelstraße,5,10997,Germany,Berlin,
1215633,Mayfield Software Partners,,,,3,"United States, San Francisco",,,94109,United States,San Francisco,
1504626,MI Technology,"Completely independent, privately owned company delivering analysis, development, testing and consultancy services",,,15,"United Kingdom, Leyland",,,PR25 2,United Kingdom,Leyland,"outside tech,consulting services,Testing"
1240836,BACHMANN,"Highly innovative, mid-sized company, that develops, and markets electronic components & systems with a focus on customers",,,3,"Germany, Stuttgart",,,,Germany,Stuttgart,
1444164,Allnutt Funeral Service,"Funeral, cremation, pre-planning and cemetery services through mortuaries",,,4,"United States, Greeley",,,,United States,Greeley,Funeral
